nome;endereco;cep
Gabriel Oliveira;Rua Dom Pedro, 480, Batel, Curitiba - PR;52857-142
Marcos Costa;Rua XV de Novembro, 1054, Pinheiros, São Paulo - SP;58612-801
Bruno Rodrigues;Av. Brasil, 1380, Barra da Tijuca, Rio de Janeiro - RJ;56595-432
Mariana Gomes;Av. Independência, 1926, Vila Mariana, São Paulo - SP;87893-159
Fernanda Souza;Rua das Flores, 1840, Pinheiros, Rio de Janeiro - RJ;32107-597
Marcos Silva;Rua Amazonas, 1778, Batel, Porto Alegre - RS;70442-565
Mariana Oliveira;Rua Amazonas, 1963, Batel, Belo Horizonte - MG;32297-383
Gabriel Oliveira;Av. Paulista, 1587, Copacabana, Porto Alegre - RS;97159-867
Carlos Silva;Rua da Consolação, 2934, Centro, Belo Horizonte - MG;80799-309
João Silva;Rua Dom Pedro, 186, Moema, Porto Alegre - RS;77356-408
Larissa Ferreira;Rua XV de Novembro, 172, Barra da Tijuca, Curitiba - PR;52546-833
Marcos Silva;Rua São João, 2885, Boa Viagem, Rio de Janeiro - RJ;67745-771
Ana Santos;Av. Independência, 269, Jardim Paulista, Rio de Janeiro - RJ;92829-526
Mariana Almeida;Av. Independência, 2313, Moema, Porto Alegre - RS;21292-982
Carlos Rodrigues;Av. Independência, 928, Jardim Paulista, Salvador - BA;45954-779
Bruno Silva;Rua da Consolação, 2197, Moema, Curitiba - PR;10653-480
Camila Oliveira;Rua das Flores, 2599, Vila Mariana, Curitiba - PR;62791-480
Thiago Costa;Rua Amazonas, 1525, Moema, Belo Horizonte - MG;83241-875
Rodrigo Almeida;Av. Rio Branco, 2961, Pinheiros, São Paulo - SP;75360-201
Aline Costa;Rua XV de Novembro, 2358, Pinheiros, Rio de Janeiro - RJ;16072-900
Marcos Pereira;Rua XV de Novembro, 2396, Centro, Curitiba - PR;17031-674
Fernanda Oliveira;Rua XV de Novembro, 1650, Centro, Belo Horizonte - MG;18492-840
Isabela Ferreira;Rua XV de Novembro, 1811, Moema, Curitiba - PR;31159-883
Carlos Costa;Rua São João, 1807, Pinheiros, Belo Horizonte - MG;42823-521
