pessoa_nome;pessoa_endereco;loja_nome;loja_endereco;distancia_km
"Rodrigo Rodrigues";"Av. Paulista, 1287, Vila Mariana, São Paulo - SP - 84816-671";"Filial Express";"Av. Paulista, 2141, Jardim América, Rio de Janeiro - RJ - 25833-530";"350,8247"
"Rodrigo Rodrigues";"Av. Paulista, 1287, Vila Mariana, São Paulo - SP - 84816-671";"Unidade Shopping";"Rua Direita, 2037, Santa Mônica, Porto Alegre - RS - 12184-133";"849,7320"
"Rodrigo Rodrigues";"Av. Paulista, 1287, Vila Mariana, São Paulo - SP - 84816-671";"MegaStore Premium";"Rua Marechal Floriano, 2237, Estoril, Salvador - BA - 48333-446";"1454,5291"
"Rodrigo Rodrigues";"Av. Paulista, 1287, Vila Mariana, São Paulo - SP - 84816-671";"Filial Outlet";"Rua José Bonifácio, 4827, Centro, São Paulo - SP - 87114-549";"2,4105"
"Rodrigo Rodrigues";"Av. Paulista, 1287, Vila Mariana, São Paulo - SP - 84816-671";"Filial Express";"Av. da Praia, 4425, Cidade Nova, São Paulo - SP - 85287-158";"19,3834"
"Rodrigo Rodrigues";"Av. Paulista, 1287, Vila Mariana, São Paulo - SP - 84816-671";"Ponto de Venda Outlet";"Rua Marechal Floriano, 3266, Vila Rica, Rio de Janeiro - RJ - 28998-401";"352,8434"
"Rodrigo Rodrigues";"Av. Paulista, 1287, Vila Mariana, São Paulo - SP - 84816-671";"Filial Outlet";"Av. Brasil, 4363, São Cristóvão, Curitiba - PR - 79704-384";"705,0008"
"Rodrigo Rodrigues";"Av. Paulista, 1287, Vila Mariana, São Paulo - SP - 84816-671";"Filial Shopping";"Rua Primeiro de Maio, 584, Centro, Curitiba - PR - 96845-846";"342,8321"
"Rodrigo Rodrigues";"Av. Paulista, 1287, Vila Mariana, São Paulo - SP - 84816-671";"MegaStore Express";"Av. Paulista, 4736, Cidade Nova, Salvador - BA - 86467-840";"1463,8350"
"Rodrigo Rodrigues";"Av. Paulista, 1287, Vila Mariana, São Paulo - SP - 84816-671";"Unidade Premium";"Av. Paulista, 2636, Jardim Europa, Salvador - BA - 66695-793";"1463,8350"
"Rodrigo Rodrigues";"Av. Paulista, 1287, Vila Mariana, São Paulo - SP - 84816-671";"Filial Shopping";"Av. Paulista, 4485, Vila Rica, Rio de Janeiro - RJ - 52118-520";"375,8527"
"Rodrigo Rodrigues";"Av. Paulista, 1287, Vila Mariana, São Paulo - SP - 84816-671";"Ponto de Venda Centro";"Rua Direita, 200, Jardim Europa, Curitiba - PR - 80016-948";"335,7266"
"Rodrigo Rodrigues";"Av. Paulista, 1287, Vila Mariana, São Paulo - SP - 84816-671";"Unidade Express";"Praça da Sé, 2215, São Cristóvão, Curitiba - PR - 75665-892";"337,5943"
"Rodrigo Rodrigues";"Av. Paulista, 1287, Vila Mariana, São Paulo - SP - 84816-671";"Loja Express";"Av. da Praia, 2616, Centro, Belo Horizonte - MG - 61220-847";"492,8005"
"Rodrigo Rodrigues";"Av. Paulista, 1287, Vila Mariana, São Paulo - SP - 84816-671";"MegaStore Centro";"Rua Primeiro de Maio, 775, Cidade Nova, São Paulo - SP - 49885-210";"22,0658"
"Rodrigo Rodrigues";"Av. Paulista, 1287, Vila Mariana, São Paulo - SP - 84816-671";"Filial Premium";"Rua Marechal Floriano, 1594, Vila Rica, Rio de Janeiro - RJ - 72783-244";"352,8911"
"Rodrigo Rodrigues";"Av. Paulista, 1287, Vila Mariana, São Paulo - SP - 84816-671";"Loja Shopping";"Av. Paulista, 4901, Vila Rica, Salvador - BA - 51307-333";"1463,8350"
"Rodrigo Rodrigues";"Av. Paulista, 1287, Vila Mariana, São Paulo - SP - 84816-671";"Loja Premium";"Av. Paulista, 4806, Jardim América, Rio de Janeiro - RJ - 20122-758";"350,8247"
"Rodrigo Rodrigues";"Av. Paulista, 1287, Vila Mariana, São Paulo - SP - 84816-671";"Unidade Express";"Av. Paulista, 2628, Santa Mônica, Rio de Janeiro - RJ - 25785-465";"241,6842"
"Rodrigo Rodrigues";"Av. Paulista, 1287, Vila Mariana, São Paulo - SP - 84816-671";"Ponto de Venda Outlet";"Rua Direita, 3673, Industrial, São Paulo - SP - 45233-382";"2,5750"
"Rodrigo Rodrigues";"Av. Paulista, 1287, Vila Mariana, São Paulo - SP - 84816-671";"Filial Express";"Av. Brasil, 4772, Vila Rica, Belo Horizonte - MG - 94206-670";"491,5843"
"Rodrigo Rodrigues";"Av. Paulista, 1287, Vila Mariana, São Paulo - SP - 84816-671";"Loja Outlet";"Av. Brasil, 737, Estoril, Porto Alegre - RS - 39791-859";"846,3598"
"Rodrigo Rodrigues";"Av. Paulista, 1287, Vila Mariana, São Paulo - SP - 84816-671";"Loja Express";"Av. Goiás, 2828, Jardim Europa, Curitiba - PR - 79150-343";"340,3341"
"Rodrigo Rodrigues";"Av. Paulista, 1287, Vila Mariana, São Paulo - SP - 84816-671";"Unidade Outlet";"Rua Direita, 4474, Centro, São Paulo - SP - 95416-100";"2,5475"
"Rodrigo Rodrigues";"Av. Paulista, 1287, Vila Mariana, São Paulo - SP - 84816-671";"MegaStore Outlet";"Rua Direita, 729, Boa Vista, Salvador - BA - 84876-218";"1472,6585"
"Rodrigo Rodrigues";"Av. Paulista, 1287, Vila Mariana, São Paulo - SP - 84816-671";"Unidade Express";"Av. João Pessoa, 2561, Vila Rica, Salvador - BA - 53827-722";"1462,3742"
"Rodrigo Rodrigues";"Av. Paulista, 1287, Vila Mariana, São Paulo - SP - 84816-671";"Loja Express";"Av. Brasil, 3849, Vila Rica, São Paulo - SP - 43536-617";"13,6697"
"Rodrigo Rodrigues";"Av. Paulista, 1287, Vila Mariana, São Paulo - SP - 84816-671";"Loja Centro";"Rua Direita, 2101, São Cristóvão, Salvador - BA - 27282-203";"1472,1287"
"Rodrigo Rodrigues";"Av. Paulista, 1287, Vila Mariana, São Paulo - SP - 84816-671";"MegaStore Express";"Rua José Bonifácio, 3018, Cidade Nova, Curitiba - PR - 70319-317";"2476,4375"
"Rodrigo Rodrigues";"Av. Paulista, 1287, Vila Mariana, São Paulo - SP - 84816-671";"Loja Shopping";"Rua Direita, 1772, Jardim América, São Paulo - SP - 87407-632";"2,5750"
"Rodrigo Rodrigues";"Av. Paulista, 1287, Vila Mariana, São Paulo - SP - 84816-671";"MegaStore Express";"Av. Goiás, 4725, Estoril, Porto Alegre - RS - 62454-476";"851,8025"
"Rodrigo Rodrigues";"Av. Paulista, 1287, Vila Mariana, São Paulo - SP - 84816-671";"Unidade Centro";"Av. Goiás, 1929, Centro, Porto Alegre - RS - 19772-705";"850,1672"
"Rodrigo Rodrigues";"Av. Paulista, 1287, Vila Mariana, São Paulo - SP - 84816-671";"Unidade Premium";"Av. João Pessoa, 1335, Centro, São Paulo - SP - 66659-700";"267,3985"
"Rodrigo Rodrigues";"Av. Paulista, 1287, Vila Mariana, São Paulo - SP - 84816-671";"Filial Shopping";"Av. Brasil, 3495, Jardim Europa, Belo Horizonte - MG - 52879-896";"501,9605"
"Rodrigo Rodrigues";"Av. Paulista, 1287, Vila Mariana, São Paulo - SP - 84816-671";"Unidade Centro";"Av. da Praia, 1799, Centro, Curitiba - PR - 27187-567";"336,8079"
"Rodrigo Rodrigues";"Av. Paulista, 1287, Vila Mariana, São Paulo - SP - 84816-671";"Ponto de Venda Centro";"Av. João Pessoa, 3983, Estoril, Curitiba - PR - 25253-384";"344,5747"
"Rodrigo Rodrigues";"Av. Paulista, 1287, Vila Mariana, São Paulo - SP - 84816-671";"Unidade Outlet";"Rua Primeiro de Maio, 178, Industrial, Belo Horizonte - MG - 66012-918";"494,6100"
"Rodrigo Rodrigues";"Av. Paulista, 1287, Vila Mariana, São Paulo - SP - 84816-671";"Ponto de Venda Premium";"Praça da Sé, 3483, Vila Rica, Curitiba - PR - 12042-816";"335,7266"
"Rodrigo Rodrigues";"Av. Paulista, 1287, Vila Mariana, São Paulo - SP - 84816-671";"Ponto de Venda Premium";"Av. da Praia, 2560, São Cristóvão, Porto Alegre - RS - 29222-663";"847,3813"
"Rodrigo Rodrigues";"Av. Paulista, 1287, Vila Mariana, São Paulo - SP - 84816-671";"Ponto de Venda Centro";"Praça da Sé, 1888, Boa Vista, Salvador - BA - 29532-598";"1457,0608"
"Rodrigo Rodrigues";"Av. Paulista, 1287, Vila Mariana, São Paulo - SP - 84816-671";"Unidade Centro";"Rua Direita, 3801, Jardim Europa, São Paulo - SP - 92897-400";"2,5750"
"Rodrigo Rodrigues";"Av. Paulista, 1287, Vila Mariana, São Paulo - SP - 84816-671";"Ponto de Venda Express";"Av. João Pessoa, 4815, Vila Rica, Rio de Janeiro - RJ - 90909-962";"357,3404"
"Rodrigo Rodrigues";"Av. Paulista, 1287, Vila Mariana, São Paulo - SP - 84816-671";"Ponto de Venda Premium";"Av. Goiás, 3582, Santa Mônica, Belo Horizonte - MG - 43508-735";"499,2097"
"Rodrigo Rodrigues";"Av. Paulista, 1287, Vila Mariana, São Paulo - SP - 84816-671";"Loja Centro";"Av. Goiás, 3376, Jardim América, Curitiba - PR - 31826-968";"334,6184"
"Rodrigo Rodrigues";"Av. Paulista, 1287, Vila Mariana, São Paulo - SP - 84816-671";"Loja Outlet";"Rua José Bonifácio, 3490, Vila Rica, Rio de Janeiro - RJ - 71148-651";"352,4779"
"Rodrigo Rodrigues";"Av. Paulista, 1287, Vila Mariana, São Paulo - SP - 84816-671";"Loja Shopping";"Av. Goiás, 2359, Vila Rica, Salvador - BA - 52899-727";"1283,6400"
"Rodrigo Rodrigues";"Av. Paulista, 1287, Vila Mariana, São Paulo - SP - 84816-671";"Filial Outlet";"Av. da Praia, 742, Santa Mônica, São Paulo - SP - 55580-343";"19,4103"
"Rodrigo Rodrigues";"Av. Paulista, 1287, Vila Mariana, São Paulo - SP - 84816-671";"Filial Premium";"Rua José Bonifácio, 3163, São Cristóvão, São Paulo - SP - 21882-343";"15,1204"
"Rodrigo Rodrigues";"Av. Paulista, 1287, Vila Mariana, São Paulo - SP - 84816-671";"Filial Express";"Rua José Bonifácio, 3136, Industrial, Salvador - BA - 82368-562";"1467,6852"
"Rodrigo Rodrigues";"Av. Paulista, 1287, Vila Mariana, São Paulo - SP - 84816-671";"MegaStore Outlet";"Rua Marechal Floriano, 3499, Industrial, Belo Horizonte - MG - 19219-493";"502,0419"
"Rodrigo Rodrigues";"Av. Paulista, 1287, Vila Mariana, São Paulo - SP - 84816-671";"Loja Express";"Rua Direita, 4671, Jardim Europa, Rio de Janeiro - RJ - 42088-953";"392,1254"
"Rodrigo Rodrigues";"Av. Paulista, 1287, Vila Mariana, São Paulo - SP - 84816-671";"Filial Shopping";"Av. da Praia, 1087, Cidade Nova, Salvador - BA - 23883-191";"1459,4354"
"Rodrigo Rodrigues";"Av. Paulista, 1287, Vila Mariana, São Paulo - SP - 84816-671";"Loja Outlet";"Av. da Praia, 4141, Centro, Porto Alegre - RS - 15925-331";"851,7173"
"Rodrigo Rodrigues";"Av. Paulista, 1287, Vila Mariana, São Paulo - SP - 84816-671";"Loja Express";"Rua Direita, 4223, São Cristóvão, Salvador - BA - 30923-308";"1472,1287"
"Rodrigo Rodrigues";"Av. Paulista, 1287, Vila Mariana, São Paulo - SP - 84816-671";"Unidade Premium";"Av. da Praia, 132, Santa Mônica, Porto Alegre - RS - 10629-648";"849,7320"
"Rodrigo Rodrigues";"Av. Paulista, 1287, Vila Mariana, São Paulo - SP - 84816-671";"Loja Premium";"Rua Marechal Floriano, 179, Jardim Europa, Rio de Janeiro - RJ - 67992-402";"353,5325"
"Rodrigo Rodrigues";"Av. Paulista, 1287, Vila Mariana, São Paulo - SP - 84816-671";"Filial Premium";"Av. João Pessoa, 1165, Santa Mônica, Salvador - BA - 68866-847";"1496,9077"
"Rodrigo Rodrigues";"Av. Paulista, 1287, Vila Mariana, São Paulo - SP - 84816-671";"Ponto de Venda Centro";"Rua Direita, 375, Centro, Curitiba - PR - 79719-887";"336,8079"
"Rodrigo Rodrigues";"Av. Paulista, 1287, Vila Mariana, São Paulo - SP - 84816-671";"Filial Shopping";"Av. Goiás, 3014, Centro, Salvador - BA - 59743-353";"1455,3866"
"Rodrigo Rodrigues";"Av. Paulista, 1287, Vila Mariana, São Paulo - SP - 84816-671";"Filial Outlet";"Av. da Praia, 2338, Jardim Europa, Belo Horizonte - MG - 79608-549";"501,9605"
"Rodrigo Rodrigues";"Av. Paulista, 1287, Vila Mariana, São Paulo - SP - 84816-671";"Unidade Express";"Av. Brasil, 4550, Jardim Europa, Porto Alegre - RS - 64330-876";"846,3353"
"Rodrigo Rodrigues";"Av. Paulista, 1287, Vila Mariana, São Paulo - SP - 84816-671";"Ponto de Venda Shopping";"Av. Paulista, 1463, Santa Mônica, Rio de Janeiro - RJ - 11791-768";"284,0176"
"Rodrigo Rodrigues";"Av. Paulista, 1287, Vila Mariana, São Paulo - SP - 84816-671";"Unidade Outlet";"Av. da Praia, 4748, Centro, Salvador - BA - 53078-295";"1455,3536"
"Rodrigo Rodrigues";"Av. Paulista, 1287, Vila Mariana, São Paulo - SP - 84816-671";"MegaStore Shopping";"Av. Paulista, 3547, Santa Mônica, Curitiba - PR - 45074-775";"342,9289"
"Rodrigo Rodrigues";"Av. Paulista, 1287, Vila Mariana, São Paulo - SP - 84816-671";"Unidade Centro";"Av. Brasil, 4926, Boa Vista, Porto Alegre - RS - 58515-612";"846,5017"
"Rodrigo Rodrigues";"Av. Paulista, 1287, Vila Mariana, São Paulo - SP - 84816-671";"Loja Outlet";"Rua Primeiro de Maio, 511, Santa Mônica, Curitiba - PR - 59677-738";"342,8121"
"Rodrigo Rodrigues";"Av. Paulista, 1287, Vila Mariana, São Paulo - SP - 84816-671";"MegaStore Centro";"Av. João Pessoa, 70, Boa Vista, Belo Horizonte - MG - 55581-619";"496,7579"
"Rodrigo Rodrigues";"Av. Paulista, 1287, Vila Mariana, São Paulo - SP - 84816-671";"Filial Centro";"Av. Paulista, 3464, Santa Mônica, Salvador - BA - 41373-671";"1463,8350"
"Rodrigo Rodrigues";"Av. Paulista, 1287, Vila Mariana, São Paulo - SP - 84816-671";"MegaStore Centro";"Rua José Bonifácio, 3107, Santa Mônica, Curitiba - PR - 30858-533";"336,3720"
"Rodrigo Rodrigues";"Av. Paulista, 1287, Vila Mariana, São Paulo - SP - 84816-671";"Unidade Centro";"Rua Marechal Floriano, 4261, Boa Vista, Porto Alegre - RS - 46255-124";"827,6802"
"Rodrigo Rodrigues";"Av. Paulista, 1287, Vila Mariana, São Paulo - SP - 84816-671";"Filial Express";"Rua Direita, 2512, Estoril, São Paulo - SP - 65485-211";"27,2681"
"Rodrigo Rodrigues";"Av. Paulista, 1287, Vila Mariana, São Paulo - SP - 84816-671";"Unidade Express";"Av. da Praia, 3346, Vila Rica, Salvador - BA - 72246-512";"1454,9744"
"Rodrigo Rodrigues";"Av. Paulista, 1287, Vila Mariana, São Paulo - SP - 84816-671";"Filial Premium";"Rua Direita, 1676, Santa Mônica, Porto Alegre - RS - 50039-668";"846,3202"
"Rodrigo Rodrigues";"Av. Paulista, 1287, Vila Mariana, São Paulo - SP - 84816-671";"Unidade Outlet";"Rua Marechal Floriano, 4433, São Cristóvão, Belo Horizonte - MG - 28695-443";"502,0419"
"Rodrigo Rodrigues";"Av. Paulista, 1287, Vila Mariana, São Paulo - SP - 84816-671";"Loja Express";"Rua Direita, 2487, Cidade Nova, Rio de Janeiro - RJ - 22188-907";"360,3173"
"Rodrigo Rodrigues";"Av. Paulista, 1287, Vila Mariana, São Paulo - SP - 84816-671";"MegaStore Premium";"Rua Primeiro de Maio, 2918, Jardim Europa, Curitiba - PR - 48698-712";"342,4546"
"Rodrigo Rodrigues";"Av. Paulista, 1287, Vila Mariana, São Paulo - SP - 84816-671";"Filial Shopping";"Rua Direita, 4878, Jardim América, Belo Horizonte - MG - 38232-239";"488,5392"
"Rodrigo Rodrigues";"Av. Paulista, 1287, Vila Mariana, São Paulo - SP - 84816-671";"MegaStore Centro";"Av. Goiás, 4318, Cidade Nova, Curitiba - PR - 77497-622";"335,7266"
"Rodrigo Rodrigues";"Av. Paulista, 1287, Vila Mariana, São Paulo - SP - 84816-671";"MegaStore Outlet";"Rua Direita, 456, Jardim América, Curitiba - PR - 36330-938";"335,7266"
"Rodrigo Rodrigues";"Av. Paulista, 1287, Vila Mariana, São Paulo - SP - 84816-671";"MegaStore Centro";"Rua Marechal Floriano, 497, Jardim América, São Paulo - SP - 84893-353";"64,2598"
"Rodrigo Rodrigues";"Av. Paulista, 1287, Vila Mariana, São Paulo - SP - 84816-671";"Loja Shopping";"Rua Primeiro de Maio, 3093, Centro, Salvador - BA - 21998-578";"1469,6595"
"Rodrigo Rodrigues";"Av. Paulista, 1287, Vila Mariana, São Paulo - SP - 84816-671";"Ponto de Venda Express";"Praça da Sé, 1885, Jardim Europa, Porto Alegre - RS - 10404-480";"845,6797"
"Rodrigo Rodrigues";"Av. Paulista, 1287, Vila Mariana, São Paulo - SP - 84816-671";"Filial Premium";"Rua Marechal Floriano, 2022, Santa Mônica, Belo Horizonte - MG - 23831-829";"502,0419"
"Rodrigo Rodrigues";"Av. Paulista, 1287, Vila Mariana, São Paulo - SP - 84816-671";"Ponto de Venda Shopping";"Praça da Sé, 3085, Estoril, Curitiba - PR - 25441-412";"335,7266"
"Rodrigo Rodrigues";"Av. Paulista, 1287, Vila Mariana, São Paulo - SP - 84816-671";"Filial Outlet";"Rua Direita, 2399, Centro, São Paulo - SP - 76908-721";"2,5475"
"Rodrigo Rodrigues";"Av. Paulista, 1287, Vila Mariana, São Paulo - SP - 84816-671";"Loja Outlet";"Av. Brasil, 4659, Cidade Nova, Salvador - BA - 92230-592";"1459,4354"
"Rodrigo Rodrigues";"Av. Paulista, 1287, Vila Mariana, São Paulo - SP - 84816-671";"Filial Shopping";"Av. Brasil, 3938, Cidade Nova, Porto Alegre - RS - 73503-789";"846,3353"
"Rodrigo Rodrigues";"Av. Paulista, 1287, Vila Mariana, São Paulo - SP - 84816-671";"Ponto de Venda Centro";"Av. Brasil, 3297, Santa Mônica, São Paulo - SP - 88093-467";"13,8174"
"Rodrigo Rodrigues";"Av. Paulista, 1287, Vila Mariana, São Paulo - SP - 84816-671";"Filial Outlet";"Av. Paulista, 4385, São Cristóvão, Rio de Janeiro - RJ - 89505-855";"358,3097"
"Rodrigo Rodrigues";"Av. Paulista, 1287, Vila Mariana, São Paulo - SP - 84816-671";"Filial Express";"Praça da Sé, 4199, Santa Mônica, Curitiba - PR - 52163-944";"335,7266"
"Mariana Gomes";"Rua São João, 1013, Barra da Tijuca, Curitiba - PR - 56313-209";"MegaStore Shopping";"Rua Direita, 4532, Industrial, Salvador - BA - 96088-292";"1812,5096"
"Mariana Gomes";"Rua São João, 1013, Barra da Tijuca, Curitiba - PR - 56313-209";"Loja Shopping";"Rua Marechal Floriano, 664, Industrial, Belo Horizonte - MG - 94718-480";"841,5543"
"Mariana Gomes";"Rua São João, 1013, Barra da Tijuca, Curitiba - PR - 56313-209";"Unidade Centro";"Av. Goiás, 3547, Boa Vista, São Paulo - SP - 96021-880";"351,8372"
"Mariana Gomes";"Rua São João, 1013, Barra da Tijuca, Curitiba - PR - 56313-209";"Loja Outlet";"Rua Primeiro de Maio, 4332, Jardim Europa, Rio de Janeiro - RJ - 89454-431";"668,8318"
"Mariana Gomes";"Rua São João, 1013, Barra da Tijuca, Curitiba - PR - 56313-209";"Unidade Outlet";"Av. João Pessoa, 4134, Industrial, Belo Horizonte - MG - 91955-239";"832,3589"
"Mariana Gomes";"Rua São João, 1013, Barra da Tijuca, Curitiba - PR - 56313-209";"Filial Shopping";"Praça da Sé, 1490, Jardim América, Belo Horizonte - MG - 44437-275";"827,9426"
"Mariana Gomes";"Rua São João, 1013, Barra da Tijuca, Curitiba - PR - 56313-209";"Filial Express";"Av. João Pessoa, 4069, Jardim América, Salvador - BA - 60696-715";"2679,6914"
"Mariana Gomes";"Rua São João, 1013, Barra da Tijuca, Curitiba - PR - 56313-209";"Filial Express";"Av. Paulista, 3360, Cidade Nova, Curitiba - PR - 67263-526";"11,7776"
"Mariana Gomes";"Rua São João, 1013, Barra da Tijuca, Curitiba - PR - 56313-209";"Loja Express";"Av. Brasil, 265, Vila Rica, Rio de Janeiro - RJ - 74715-351";"683,5914"
"Mariana Gomes";"Rua São João, 1013, Barra da Tijuca, Curitiba - PR - 56313-209";"MegaStore Shopping";"Rua Primeiro de Maio, 4913, Industrial, Porto Alegre - RS - 12239-546";"540,6177"
"Mariana Gomes";"Rua São João, 1013, Barra da Tijuca, Curitiba - PR - 56313-209";"Filial Express";"Av. Paulista, 2141, Jardim América, Rio de Janeiro - RJ - 25833-530";"680,7080"
"Mariana Gomes";"Rua São João, 1013, Barra da Tijuca, Curitiba - PR - 56313-209";"Unidade Shopping";"Rua Direita, 2037, Santa Mônica, Porto Alegre - RS - 12184-133";"536,5263"
"Mariana Gomes";"Rua São João, 1013, Barra da Tijuca, Curitiba - PR - 56313-209";"MegaStore Premium";"Rua Marechal Floriano, 2237, Estoril, Salvador - BA - 48333-446";"1794,0145"
"Mariana Gomes";"Rua São João, 1013, Barra da Tijuca, Curitiba - PR - 56313-209";"Filial Outlet";"Rua José Bonifácio, 4827, Centro, São Paulo - SP - 87114-549";"349,8340"
"Mariana Gomes";"Rua São João, 1013, Barra da Tijuca, Curitiba - PR - 56313-209";"Filial Express";"Av. da Praia, 4425, Cidade Nova, São Paulo - SP - 85287-158";"330,9488"
"Mariana Gomes";"Rua São João, 1013, Barra da Tijuca, Curitiba - PR - 56313-209";"Ponto de Venda Outlet";"Rua Marechal Floriano, 3266, Vila Rica, Rio de Janeiro - RJ - 28998-401";"682,5424"
"Mariana Gomes";"Rua São João, 1013, Barra da Tijuca, Curitiba - PR - 56313-209";"Filial Outlet";"Av. Brasil, 4363, São Cristóvão, Curitiba - PR - 79704-384";"416,1665"
"Mariana Gomes";"Rua São João, 1013, Barra da Tijuca, Curitiba - PR - 56313-209";"Filial Shopping";"Rua Primeiro de Maio, 584, Centro, Curitiba - PR - 96845-846";"6,9797"
"Mariana Gomes";"Rua São João, 1013, Barra da Tijuca, Curitiba - PR - 56313-209";"MegaStore Express";"Av. Paulista, 4736, Cidade Nova, Salvador - BA - 86467-840";"1803,3537"
"Mariana Gomes";"Rua São João, 1013, Barra da Tijuca, Curitiba - PR - 56313-209";"Unidade Premium";"Av. Paulista, 2636, Jardim Europa, Salvador - BA - 66695-793";"1803,3537"
"Mariana Gomes";"Rua São João, 1013, Barra da Tijuca, Curitiba - PR - 56313-209";"Filial Shopping";"Av. Paulista, 4485, Vila Rica, Rio de Janeiro - RJ - 52118-520";"707,2143"
"Mariana Gomes";"Rua São João, 1013, Barra da Tijuca, Curitiba - PR - 56313-209";"Ponto de Venda Centro";"Rua Direita, 200, Jardim Europa, Curitiba - PR - 80016-948";"11,7776"
"Mariana Gomes";"Rua São João, 1013, Barra da Tijuca, Curitiba - PR - 56313-209";"Unidade Express";"Praça da Sé, 2215, São Cristóvão, Curitiba - PR - 75665-892";"15,2977"
"Mariana Gomes";"Rua São João, 1013, Barra da Tijuca, Curitiba - PR - 56313-209";"Loja Express";"Av. da Praia, 2616, Centro, Belo Horizonte - MG - 61220-847";"832,3500"
"Mariana Gomes";"Rua São João, 1013, Barra da Tijuca, Curitiba - PR - 56313-209";"MegaStore Centro";"Rua Primeiro de Maio, 775, Cidade Nova, São Paulo - SP - 49885-210";"359,6562"
"Mariana Gomes";"Rua São João, 1013, Barra da Tijuca, Curitiba - PR - 56313-209";"Filial Premium";"Rua Marechal Floriano, 1594, Vila Rica, Rio de Janeiro - RJ - 72783-244";"683,1068"
"Mariana Gomes";"Rua São João, 1013, Barra da Tijuca, Curitiba - PR - 56313-209";"Loja Shopping";"Av. Paulista, 4901, Vila Rica, Salvador - BA - 51307-333";"1803,3537"
"Mariana Gomes";"Rua São João, 1013, Barra da Tijuca, Curitiba - PR - 56313-209";"Loja Premium";"Av. Paulista, 4806, Jardim América, Rio de Janeiro - RJ - 20122-758";"680,7080"
"Mariana Gomes";"Rua São João, 1013, Barra da Tijuca, Curitiba - PR - 56313-209";"Unidade Express";"Av. Paulista, 2628, Santa Mônica, Rio de Janeiro - RJ - 25785-465";"586,9878"
"Mariana Gomes";"Rua São João, 1013, Barra da Tijuca, Curitiba - PR - 56313-209";"Ponto de Venda Outlet";"Rua Direita, 3673, Industrial, São Paulo - SP - 45233-382";"350,0021"
"Mariana Gomes";"Rua São João, 1013, Barra da Tijuca, Curitiba - PR - 56313-209";"Filial Express";"Av. Brasil, 4772, Vila Rica, Belo Horizonte - MG - 94206-670";"831,2509"
"Mariana Gomes";"Rua São João, 1013, Barra da Tijuca, Curitiba - PR - 56313-209";"Loja Outlet";"Av. Brasil, 737, Estoril, Porto Alegre - RS - 39791-859";"532,9848"
"Mariana Gomes";"Rua São João, 1013, Barra da Tijuca, Curitiba - PR - 56313-209";"Loja Express";"Av. Goiás, 2828, Jardim Europa, Curitiba - PR - 79150-343";"7,3648"
"Mariana Gomes";"Rua São João, 1013, Barra da Tijuca, Curitiba - PR - 56313-209";"Unidade Outlet";"Rua Direita, 4474, Centro, São Paulo - SP - 95416-100";"349,9710"
"Mariana Gomes";"Rua São João, 1013, Barra da Tijuca, Curitiba - PR - 56313-209";"MegaStore Outlet";"Rua Direita, 729, Boa Vista, Salvador - BA - 84876-218";"1812,5096"
"Mariana Gomes";"Rua São João, 1013, Barra da Tijuca, Curitiba - PR - 56313-209";"Unidade Express";"Av. João Pessoa, 2561, Vila Rica, Salvador - BA - 53827-722";"1802,0055"
